nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,1,0,400Gbps,100ns
0,1,2,0,400Gbps,100ns
0,2,3,0,400Gbps,100ns
0,3,4,0,400Gbps,100ns
0,4,5,0,400Gbps,100ns
0,5,6,0,400Gbps,100ns
0,6,7,0,400Gbps,100ns
0,7,8,0,400Gbps,100ns
0,8,16,0,400Gbps,100ns
0,9,24,0,400Gbps,100ns
0,10,32,0,400Gbps,100ns
0,11,40,0,400Gbps,100ns
0,12,48,0,400Gbps,100ns
0,13,56,0,400Gbps,100ns
0,14,256,0,400Gbps,100ns
1,1,2,1,400Gbps,100ns
1,2,3,1,400Gbps,100ns
1,3,4,1,400Gbps,100ns
1,4,5,1,400Gbps,100ns
1,5,6,1,400Gbps,100ns
1,6,7,1,400Gbps,100ns
1,7,9,0,400Gbps,100ns
1,8,17,0,400Gbps,100ns
1,9,25,0,400Gbps,100ns
1,10,33,0,400Gbps,100ns
1,11,41,0,400Gbps,100ns
1,12,49,0,400Gbps,100ns
1,13,57,0,400Gbps,100ns
1,14,257,0,400Gbps,100ns
2,2,3,2,400Gbps,100ns
2,3,4,2,400Gbps,100ns
2,4,5,2,400Gbps,100ns
2,5,6,2,400Gbps,100ns
2,6,7,2,400Gbps,100ns
2,7,10,0,400Gbps,100ns
2,8,18,0,400Gbps,100ns
2,9,26,0,400Gbps,100ns
2,10,34,0,400Gbps,100ns
2,11,42,0,400Gbps,100ns
2,12,50,0,400Gbps,100ns
2,13,58,0,400Gbps,100ns
2,14,258,0,400Gbps,100ns
3,3,4,3,400Gbps,100ns
3,4,5,3,400Gbps,100ns
3,5,6,3,400Gbps,100ns
3,6,7,3,400Gbps,100ns
3,7,11,0,400Gbps,100ns
3,8,19,0,400Gbps,100ns
3,9,27,0,400Gbps,100ns
3,10,35,0,400Gbps,100ns
3,11,43,0,400Gbps,100ns
3,12,51,0,400Gbps,100ns
3,13,59,0,400Gbps,100ns
3,14,259,0,400Gbps,100ns
4,4,5,4,400Gbps,100ns
4,5,6,4,400Gbps,100ns
4,6,7,4,400Gbps,100ns
4,7,12,0,400Gbps,100ns
4,8,20,0,400Gbps,100ns
4,9,28,0,400Gbps,100ns
4,10,36,0,400Gbps,100ns
4,11,44,0,400Gbps,100ns
4,12,52,0,400Gbps,100ns
4,13,60,0,400Gbps,100ns
4,14,260,0,400Gbps,100ns
5,5,6,5,400Gbps,100ns
5,6,7,5,400Gbps,100ns
5,7,13,0,400Gbps,100ns
5,8,21,0,400Gbps,100ns
5,9,29,0,400Gbps,100ns
5,10,37,0,400Gbps,100ns
5,11,45,0,400Gbps,100ns
5,12,53,0,400Gbps,100ns
5,13,61,0,400Gbps,100ns
5,14,261,0,400Gbps,100ns
6,6,7,6,400Gbps,100ns
6,7,14,0,400Gbps,100ns
6,8,22,0,400Gbps,100ns
6,9,30,0,400Gbps,100ns
6,10,38,0,400Gbps,100ns
6,11,46,0,400Gbps,100ns
6,12,54,0,400Gbps,100ns
6,13,62,0,400Gbps,100ns
6,14,262,0,400Gbps,100ns
7,7,15,0,400Gbps,100ns
7,8,23,0,400Gbps,100ns
7,9,31,0,400Gbps,100ns
7,10,39,0,400Gbps,100ns
7,11,47,0,400Gbps,100ns
7,12,55,0,400Gbps,100ns
7,13,63,0,400Gbps,100ns
7,14,263,0,400Gbps,100ns
8,1,9,1,400Gbps,100ns
8,2,10,1,400Gbps,100ns
8,3,11,1,400Gbps,100ns
8,4,12,1,400Gbps,100ns
8,5,13,1,400Gbps,100ns
8,6,14,1,400Gbps,100ns
8,7,15,1,400Gbps,100ns
8,8,16,1,400Gbps,100ns
8,9,24,1,400Gbps,100ns
8,10,32,1,400Gbps,100ns
8,11,40,1,400Gbps,100ns
8,12,48,1,400Gbps,100ns
8,13,56,1,400Gbps,100ns
8,14,256,1,400Gbps,100ns
9,2,10,2,400Gbps,100ns
9,3,11,2,400Gbps,100ns
9,4,12,2,400Gbps,100ns
9,5,13,2,400Gbps,100ns
9,6,14,2,400Gbps,100ns
9,7,15,2,400Gbps,100ns
9,8,17,1,400Gbps,100ns
9,9,25,1,400Gbps,100ns
9,10,33,1,400Gbps,100ns
9,11,41,1,400Gbps,100ns
9,12,49,1,400Gbps,100ns
9,13,57,1,400Gbps,100ns
9,14,257,1,400Gbps,100ns
10,3,11,3,400Gbps,100ns
10,4,12,3,400Gbps,100ns
10,5,13,3,400Gbps,100ns
10,6,14,3,400Gbps,100ns
10,7,15,3,400Gbps,100ns
10,8,18,1,400Gbps,100ns
10,9,26,1,400Gbps,100ns
10,10,34,1,400Gbps,100ns
10,11,42,1,400Gbps,100ns
10,12,50,1,400Gbps,100ns
10,13,58,1,400Gbps,100ns
