taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,12,7,2097152,URMA_WRITE,7,4999873ns,0,
1,6,29,2097152,URMA_WRITE,7,4793941ns,0,
2,21,7,2097152,URMA_WRITE,7,1556793ns,0,
3,13,9,2097152,URMA_WRITE,7,3971600ns,0,
4,9,29,2097152,URMA_WRITE,7,6550676ns,0,
5,18,11,2097152,URMA_WRITE,7,8426279ns,0,
6,15,13,2097152,URMA_WRITE,7,468081ns,0,
7,27,1,2097152,URMA_WRITE,7,203685ns,0,
8,6,0,2097152,URMA_WRITE,7,5636258ns,0,
9,22,4,2097152,URMA_WRITE,7,9595307ns,0,
10,5,15,2097152,URMA_WRITE,7,1633138ns,0,
11,7,28,2097152,URMA_WRITE,7,8129386ns,0,
12,16,23,2097152,URMA_WRITE,7,7547031ns,0,
13,13,6,2097152,URMA_WRITE,7,3854609ns,0,
14,22,13,2097152,URMA_WRITE,7,4208485ns,0,
15,11,3,2097152,URMA_WRITE,7,179093ns,0,
16,26,7,2097152,URMA_WRITE,7,8260061ns,0,
17,11,10,2097152,URMA_WRITE,7,4956994ns,0,
18,6,17,2097152,URMA_WRITE,7,5514231ns,0,
19,27,15,2097152,URMA_WRITE,7,5070196ns,0,
20,0,29,2097152,URMA_WRITE,7,2970740ns,0,
21,14,23,2097152,URMA_WRITE,7,624642ns,0,
22,23,13,2097152,URMA_WRITE,7,921579ns,0,
23,15,4,2097152,URMA_WRITE,7,3876224ns,0,
24,15,22,2097152,URMA_WRITE,7,4556899ns,0,
25,25,28,2097152,URMA_WRITE,7,1802965ns,0,
26,23,27,2097152,URMA_WRITE,7,496154ns,0,
27,9,29,2097152,URMA_WRITE,7,9820571ns,0,
28,19,27,2097152,URMA_WRITE,7,8944903ns,0,
29,14,17,2097152,URMA_WRITE,7,8950529ns,0,
30,6,26,2097152,URMA_WRITE,7,9986417ns,0,
31,22,8,2097152,URMA_WRITE,7,8113878ns,0,
32,9,30,2097152,URMA_WRITE,7,3216648ns,0,
33,10,25,2097152,URMA_WRITE,7,3112592ns,0,
34,15,3,2097152,URMA_WRITE,7,4065998ns,0,
35,4,10,2097152,URMA_WRITE,7,1396082ns,0,
36,17,9,2097152,URMA_WRITE,7,9628930ns,0,
37,29,0,2097152,URMA_WRITE,7,839290ns,0,
38,15,28,2097152,URMA_WRITE,7,3677234ns,0,
39,20,12,2097152,URMA_WRITE,7,4940536ns,0,
40,8,28,2097152,URMA_WRITE,7,4132322ns,0,
41,18,29,2097152,URMA_WRITE,7,8772285ns,0,
42,2,1,2097152,URMA_WRITE,7,6710298ns,0,
43,18,15,2097152,URMA_WRITE,7,353855ns,0,
44,26,28,2097152,URMA_WRITE,7,8713236ns,0,
45,22,29,2097152,URMA_WRITE,7,6537548ns,0,
46,7,0,2097152,URMA_WRITE,7,8272060ns,0,
47,4,15,2097152,URMA_WRITE,7,3899107ns,0,
48,5,31,2097152,URMA_WRITE,7,2637492ns,0,
49,10,16,2097152,URMA_WRITE,7,9816096ns,0,
50,16,19,2097152,URMA_WRITE,7,6577879ns,0,
51,19,26,2097152,URMA_WRITE,7,8172828ns,0,
52,15,11,2097152,URMA_WRITE,7,4444484ns,0,
53,22,8,2097152,URMA_WRITE,7,4424182ns,0,
54,15,2,2097152,URMA_WRITE,7,3614553ns,0,
55,7,1,2097152,URMA_WRITE,7,5975028ns,0,
56,29,24,2097152,URMA_WRITE,7,4780971ns,0,
57,4,24,2097152,URMA_WRITE,7,5544756ns,0,
