taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,35840,URMA_WRITE,7,100ns,0,
1,0,2,7168,URMA_WRITE,7,100ns,0,
2,0,3,250880,URMA_WRITE,7,100ns,0,
3,0,4,71680,URMA_WRITE,7,100ns,0,
4,0,5,21504,URMA_WRITE,7,100ns,0,
5,0,6,50176,URMA_WRITE,7,100ns,0,
6,0,7,14336,URMA_WRITE,7,100ns,0,
7,0,8,57344,URMA_WRITE,7,100ns,0,
8,0,9,21504,URMA_WRITE,7,100ns,0,
9,0,10,7168,URMA_WRITE,7,100ns,0,
10,0,11,78848,URMA_WRITE,7,100ns,0,
11,0,12,93184,URMA_WRITE,7,100ns,0,
12,0,13,28672,URMA_WRITE,7,100ns,0,
13,0,14,107520,URMA_WRITE,7,100ns,0,
14,0,15,86016,URMA_WRITE,7,100ns,0,
15,0,16,14336,URMA_WRITE,7,100ns,0,
16,0,17,7168,URMA_WRITE,7,100ns,0,
17,0,18,7168,URMA_WRITE,7,100ns,0,
18,0,19,43008,URMA_WRITE,7,100ns,0,
19,0,20,93184,URMA_WRITE,7,100ns,0,
20,0,21,35840,URMA_WRITE,7,100ns,0,
21,0,22,50176,URMA_WRITE,7,100ns,0,
22,0,23,107520,URMA_WRITE,7,100ns,0,
23,0,24,7168,URMA_WRITE,7,100ns,0,
24,0,25,50176,URMA_WRITE,7,100ns,0,
25,0,27,28672,URMA_WRITE,7,100ns,0,
26,0,28,86016,URMA_WRITE,7,100ns,0,
27,0,29,43008,URMA_WRITE,7,100ns,0,
28,0,31,7168,URMA_WRITE,7,100ns,0,
29,0,32,21504,URMA_WRITE,7,100ns,0,
30,0,33,21504,URMA_WRITE,7,100ns,0,
31,0,34,14336,URMA_WRITE,7,100ns,0,
32,0,35,7168,URMA_WRITE,7,100ns,0,
33,0,37,50176,URMA_WRITE,7,100ns,0,
34,0,38,14336,URMA_WRITE,7,100ns,0,
35,0,39,86016,URMA_WRITE,7,100ns,0,
36,0,40,157696,URMA_WRITE,7,100ns,0,
37,0,41,28672,URMA_WRITE,7,100ns,0,
38,0,42,14336,URMA_WRITE,7,100ns,0,
39,0,43,64512,URMA_WRITE,7,100ns,0,
40,0,44,57344,URMA_WRITE,7,100ns,0,
41,0,45,86016,URMA_WRITE,7,100ns,0,
42,0,46,35840,URMA_WRITE,7,100ns,0,
43,0,47,14336,URMA_WRITE,7,100ns,0,
44,0,48,7168,URMA_WRITE,7,100ns,0,
45,0,49,28672,URMA_WRITE,7,100ns,0,
46,0,50,86016,URMA_WRITE,7,100ns,0,
47,0,51,21504,URMA_WRITE,7,100ns,0,
48,0,52,21504,URMA_WRITE,7,100ns,0,
49,0,53,7168,URMA_WRITE,7,100ns,0,
50,0,54,14336,URMA_WRITE,7,100ns,0,
51,0,55,57344,URMA_WRITE,7,100ns,0,
52,0,56,7168,URMA_WRITE,7,100ns,0,
53,0,57,14336,URMA_WRITE,7,100ns,0,
54,0,59,14336,URMA_WRITE,7,100ns,0,
55,0,60,14336,URMA_WRITE,7,100ns,0,
56,0,61,114688,URMA_WRITE,7,100ns,0,
57,0,62,14336,URMA_WRITE,7,100ns,0,
58,0,63,21504,URMA_WRITE,7,100ns,0,
59,0,64,71680,URMA_WRITE,7,100ns,0,
60,0,65,14336,URMA_WRITE,7,100ns,0,
61,0,66,28672,URMA_WRITE,7,100ns,0,
62,0,67,28672,URMA_WRITE,7,100ns,0,
63,0,69,35840,URMA_WRITE,7,100ns,0,
64,0,70,14336,URMA_WRITE,7,100ns,0,
65,0,71,28672,URMA_WRITE,7,100ns,0,
66,0,72,28672,URMA_WRITE,7,100ns,0,
67,0,73,14336,URMA_WRITE,7,100ns,0,
68,0,74,28672,URMA_WRITE,7,100ns,0,
69,0,76,7168,URMA_WRITE,7,100ns,0,
70,0,77,35840,URMA_WRITE,7,100ns,0,
71,0,78,114688,URMA_WRITE,7,100ns,0,
72,0,79,71680,URMA_WRITE,7,100ns,0,
73,0,80,7168,URMA_WRITE,7,100ns,0,
74,0,81,21504,URMA_WRITE,7,100ns,0,
75,0,82,28672,URMA_WRITE,7,100ns,0,
76,0,83,7168,URMA_WRITE,7,100ns,0,
77,0,84,50176,URMA_WRITE,7,100ns,0,
78,0,85,14336,URMA_WRITE,7,100ns,0,
79,0,86,14336,URMA_WRITE,7,100ns,0,
80,0,87,21504,URMA_WRITE,7,100ns,0,
81,0,88,43008,URMA_WRITE,7,100ns,0,
82,0,89,7168,URMA_WRITE,7,100ns,0,
83,0,90,121856,URMA_WRITE,7,100ns,0,
84,0,91,43008,URMA_WRITE,7,100ns,0,
85,0,92,43008,URMA_WRITE,7,100ns,0,
86,0,93,43008,URMA_WRITE,7,100ns,0,
87,0,94,35840,URMA_WRITE,7,100ns,0,
88,0,95,21504,URMA_WRITE,7,100ns,0,
89,0,96,28672,URMA_WRITE,7,100ns,0,
90,0,98,28672,URMA_WRITE,7,100ns,0,
91,0,99,14336,URMA_WRITE,7,100ns,0,
92,0,100,7168,URMA_WRITE,7,100ns,0,
93,0,101,21504,URMA_WRITE,7,100ns,0,
94,0,102,7168,URMA_WRITE,7,100ns,0,
95,0,103,35840,URMA_WRITE,7,100ns,0,
96,0,105,28672,URMA_WRITE,7,100ns,0,
97,0,106,14336,URMA_WRITE,7,100ns,0,
98,0,108,7168,URMA_WRITE,7,100ns,0,
99,0,109,14336,URMA_WRITE,7,100ns,0,
100,0,110,21504,URMA_WRITE,7,100ns,0,
101,0,111,7168,URMA_WRITE,7,100ns,0,
102,0,112,28672,URMA_WRITE,7,100ns,0,
103,0,113,7168,URMA_WRITE,7,100ns,0,
104,0,114,21504,URMA_WRITE,7,100ns,0,
105,0,117,7168,URMA_WRITE,7,100ns,0,
106,0,118,21504,URMA_WRITE,7,100ns,0,
107,0,119,50176,URMA_WRITE,7,100ns,0,
108,0,120,14336,URMA_WRITE,7,100ns,0,
109,0,122,43008,URMA_WRITE,7,100ns,0,
110,0,123,43008,URMA_WRITE,7,100ns,0,
111,0,124,28672,URMA_WRITE,7,100ns,0,
112,0,125,7168,URMA_WRITE,7,100ns,0,
113,0,126,78848,URMA_WRITE,7,100ns,0,
114,0,127,14336,URMA_WRITE,7,100ns,0,
115,0,128,14336,URMA_WRITE,7,100ns,0,
116,0,129,7168,URMA_WRITE,7,100ns,0,
117,0,130,21504,URMA_WRITE,7,100ns,0,
118,0,131,28672,URMA_WRITE,7,100ns,0,
119,0,133,14336,URMA_WRITE,7,100ns,0,
120,0,134,50176,URMA_WRITE,7,100ns,0,
121,0,135,28672,URMA_WRITE,7,100ns,0,
122,0,136,35840,URMA_WRITE,7,100ns,0,
123,0,137,100352,URMA_WRITE,7,100ns,0,
124,0,138,50176,URMA_WRITE,7,100ns,0,
125,0,139,21504,URMA_WRITE,7,100ns,0,
126,0,140,50176,URMA_WRITE,7,100ns,0,
127,0,141,21504,URMA_WRITE,7,100ns,0,
128,0,142,35840,URMA_WRITE,7,100ns,0,
129,0,144,86016,URMA_WRITE,7,100ns,0,
130,0,145,71680,URMA_WRITE,7,100ns,0,
131,0,147,28672,URMA_WRITE,7,100ns,0,
132,0,148,7168,URMA_WRITE,7,100ns,0,
133,0,149,28672,URMA_WRITE,7,100ns,0,
134,0,150,21504,URMA_WRITE,7,100ns,0,
135,0,152,7168,URMA_WRITE,7,100ns,0,
136,0,153,14336,URMA_WRITE,7,100ns,0,
137,0,154,28672,URMA_WRITE,7,100ns,0,
138,0,155,57344,URMA_WRITE,7,100ns,0,
139,0,156,7168,URMA_WRITE,7,100ns,0,
140,0,157,35840,URMA_WRITE,7,100ns,0,
141,0,158,7168,URMA_WRITE,7,100ns,0,
142,0,159,7168,URMA_WRITE,7,100ns,0,
143,0,160,21504,URMA_WRITE,7,100ns,0,
144,0,161,43008,URMA_WRITE,7,100ns,0,
145,0,162,7168,URMA_WRITE,7,100ns,0,
146,0,163,21504,URMA_WRITE,7,100ns,0,
147,0,164,21504,URMA_WRITE,7,100ns,0,
148,0,165,21504,URMA_WRITE,7,100ns,0,
149,0,167,78848,URMA_WRITE,7,100ns,0,
150,0,168,14336,URMA_WRITE,7,100ns,0,
151,0,169,43008,URMA_WRITE,7,100ns,0,
152,0,170,7168,URMA_WRITE,7,100ns,0,
153,0,171,78848,URMA_WRITE,7,100ns,0,
154,0,172,50176,URMA_WRITE,7,100ns,0,
155,0,173,35840,URMA_WRITE,7,100ns,0,
156,0,174,50176,URMA_WRITE,7,100ns,0,
157,0,175,14336,URMA_WRITE,7,100ns,0,
158,0,176,7168,URMA_WRITE,7,100ns,0,
159,0,177,28672,URMA_WRITE,7,100ns,0,
160,0,178,21504,URMA_WRITE,7,100ns,0,
161,0,179,35840,URMA_WRITE,7,100ns,0,
162,0,180,14336,URMA_WRITE,7,100ns,0,
163,0,181,86016,URMA_WRITE,7,100ns,0,
164,0,182,7168,URMA_WRITE,7,100ns,0,
165,0,183,14336,URMA_WRITE,7,100ns,0,
166,0,184,21504,URMA_WRITE,7,100ns,0,
167,0,185,21504,URMA_WRITE,7,100ns,0,
168,0,187,43008,URMA_WRITE,7,100ns,0,
169,0,188,64512,URMA_WRITE,7,100ns,0,
170,0,189,28672,URMA_WRITE,7,100ns,0,
171,0,190,14336,URMA_WRITE,7,100ns,0,
172,0,191,28672,URMA_WRITE,7,100ns,0,
173,0,193,50176,URMA_WRITE,7,100ns,0,
174,0,194,93184,URMA_WRITE,7,100ns,0,
175,0,195,21504,URMA_WRITE,7,100ns,0,
176,0,196,14336,URMA_WRITE,7,100ns,0,
177,0,197,14336,URMA_WRITE,7,100ns,0,
178,0,198,43008,URMA_WRITE,7,100ns,0,
179,0,199,7168,URMA_WRITE,7,100ns,0,
180,0,201,107520,URMA_WRITE,7,100ns,0,
181,0,202,14336,URMA_WRITE,7,100ns,0,
182,0,203,43008,URMA_WRITE,7,100ns,0,
183,0,204,93184,URMA_WRITE,7,100ns,0,
184,0,205,7168,URMA_WRITE,7,100ns,0,
185,0,206,14336,URMA_WRITE,7,100ns,0,
186,0,207,86016,URMA_WRITE,7,100ns,0,
187,0,208,50176,URMA_WRITE,7,100ns,0,
188,0,209,21504,URMA_WRITE,7,100ns,0,
189,0,210,28672,URMA_WRITE,7,100ns,0,
190,0,211,107520,URMA_WRITE,7,100ns,0,
191,0,212,7168,URMA_WRITE,7,100ns,0,
192,0,213,21504,URMA_WRITE,7,100ns,0,
193,0,214,14336,URMA_WRITE,7,100ns,0,
